,Entity,Year,Code,pop,DALYs,Perc
1,China,2000,CHN,1290550767,23974.23521,35
2,China,2001,CHN,1299129747,23681.8101,36
3,China,2002,CHN,1307352256,23420.50505,37
4,China,2003,CHN,1315303522,23131.23448,38
5,China,2004,CHN,1323084639,22983.46099,39
6,China,2005,CHN,1330776380,22531.39525,40
7,China,2006,CHN,1338408644,21746.73749,41
8,China,2007,CHN,1345993891,21170.7767,42
9,China,2008,CHN,1353569480,20850.7499,43
10,China,2009,CHN,1361169410,20605.97658,44
11,China,2010,CHN,1368810604,20410.23828,45
12,China,2011,CHN,1376497633,20090.71791,46
13,China,2012,CHN,1384206408,19665.64941,47
14,China,2013,CHN,1391883335,19303.81055,48
15,China,2014,CHN,1399453966,18996.79081,49
16,China,2015,CHN,1406847868,18688.30889,50
17,China,2016,CHN,1414049353,18522.67334,50
18,China,2017,CHN,1421021794,18354.48221,60.5
19,China,2018,CHN,1427647789,18185.73568,60.5
20,China,2019,CHN,1433783692,18058.9635,60.5
21,China,2020,CHN,1439323774,18058.9635,62.6
22,China,2021,CHN,1444216102,18058.9635,62.6
23,China,2022,CHN,1448471404,18058.9635,55.3
24,Mexico,2000,MEX,98899845,21374.94584,35
25,Mexico,2001,MEX,100298152,21172.4221,36
26,Mexico,2002,MEX,101684764,21218.7329,37
27,Mexico,2003,MEX,103081020,21235.67718,38
28,Mexico,2004,MEX,104514934,20959.4183,39
29,Mexico,2005,MEX,106005199,21051.5959,40
30,Mexico,2006,MEX,107560155,20786.43966,41
31,Mexico,2007,MEX,109170503,20643.5257,42
32,Mexico,2008,MEX,110815272,20912.37746,43
33,Mexico,2009,MEX,112463886,21046.65294,44
34,Mexico,2010,MEX,114092961,20727.00917,45
35,Mexico,2011,MEX,115695468,20488.72901,46
36,Mexico,2012,MEX,117274156,20460.0936,47
37,Mexico,2013,MEX,118827158,20763.36495,48
38,Mexico,2014,MEX,120355137,20788.62583,49
39,Mexico,2015,MEX,121858251,20715.0541,50
40,Mexico,2016,MEX,123333379,20807.48555,50
41,Mexico,2017,MEX,124777326,21077.8205,52.9
42,Mexico,2018,MEX,126190782,21024.09185,52.9
43,Mexico,2019,MEX,127575529,21022.82404,52.9
44,Mexico,2020,MEX,128932753,21022.82404,52.8
45,Mexico,2021,MEX,130262220,21022.82404,52.8
46,Mexico,2022,MEX,131562775,21022.82404,47.4
47,United Kingdom,2000,GBR,58923305,20578.72275,66
48,United Kingdom,2001,GBR,59124277,20345.33146,67
49,United Kingdom,2002,GBR,59326294,20217.92298,68
50,United Kingdom,2003,GBR,59561429,20043.92918,69
51,United Kingdom,2004,GBR,59872760,19701.85389,70
52,United Kingdom,2005,GBR,60287953,19461.30474,71
53,United Kingdom,2006,GBR,60821349,19291.41926,72
54,United Kingdom,2007,GBR,61455154,19092.14145,73
55,United Kingdom,2008,GBR,62145098,18909.97629,74
56,United Kingdom,2009,GBR,62828620,18612.87975,75
57,United Kingdom,2010,GBR,63459801,18394.35701,76
58,United Kingdom,2011,GBR,64021922,18195.44232,77
59,United Kingdom,2012,GBR,64525300,18087.11775,78
60,United Kingdom,2013,GBR,64984015,18053.21452,79
61,United Kingdom,2014,GBR,65423048,17965.18795,80
62,United Kingdom,2015,GBR,65860149,17984.96491,80.6
63,United Kingdom,2016,GBR,66297944,17957.83975,80.6
64,United Kingdom,2017,GBR,66727463,17892.68839,81.6
65,United Kingdom,2018,GBR,67141678,17963.65818,81.6
66,United Kingdom,2019,GBR,67530161,18000.61565,81.6
67,United Kingdom,2020,GBR,67886004,18000.61565,83.3
68,United Kingdom,2021,GBR,68207114,18000.61565,83.3
69,United Kingdom,2022,GBR,68497913,18000.61565,78.9
70,United States,2000,USA,281710914,22163.8261,49
71,United States,2001,USA,284607992,22127.69174,49.4
72,United States,2002,USA,287279312,22084.6953,49.8
73,United States,2003,USA,289815567,21947.1876,50.2
74,United States,2004,USA,292354663,21678.455,50.6
75,United States,2005,USA,294993509,21610.67133,51
76,United States,2006,USA,297758977,21472.44492,51.4
77,United States,2007,USA,300608425,21314.33663,51.8
78,United States,2008,USA,303486022,21243.81802,52.2
79,United States,2009,USA,306307565,21138.27223,52.6
80,United States,2010,USA,309011469,20971.39487,53
81,United States,2011,USA,311584051,20965.10651,54
82,United States,2012,USA,314043885,20930.27564,53
83,United States,2013,USA,316400539,20952.16618,54
84,United States,2014,USA,318673422,21027.64773,55
85,United States,2015,USA,320878312,21166.86082,55.9
86,United States,2016,USA,323015992,21390.43669,55.9
87,United States,2017,USA,325084758,21443.2119,61.1
88,United States,2018,USA,327096263,21569.40999,61.1
89,United States,2019,USA,329064917,21717.3653,61.1
90,United States,2020,USA,331002647,21717.3653,61.1
91,United States,2021,USA,332915074,21717.3653,61.1
92,United States,2022,USA,334805268,21717.3653,61.1
